"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"HOTCOST","4","Housing Problems","5","Cooling Problems","1","2023 National, 2023 Metro","PUF","Flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months due to cost of cooling","HOUSEHOLD","Character","JHOTCOST","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","What was the reason (why housing unit was so hot for 24 hours or more that you were uncomfortable)? Mark all that apply","OTHHOT2","None","INTSTATUS = '1' and HOT = '1' and (HOTEQ in ('1' '2' 'M') or (ACPRIMARY = '12' and ACSECNDRY = '12'))","This question is only asked if the respondent replied ""yes"" to HOT (In the past 12 months for any reason, was your unit so hot for 24 hours or more that you were uncomfortable?), and they indicated that the unit was hot for reasons other than the main cooling equipment breaking down.",
"HOTEQ","5","Housing Problems","5","Cooling Problems","1","2023 National, 2023 Metro","PUF","Flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months because the main cooling equipment broke down","HOUSEHOLD","Character","JHOTEQ","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was that because the main cooling equipment broke down?","ACBREAK","None","INTSTATUS = '1' and HOT = '1' and (ACPRIMARY <> '12' or ACSECNDRY <> '12')","This question is only asked if the respondent replied ""yes"" to HOT (In the past 12 months for any reason, was your unit so hot for 24 hours or more that you were uncomfortable?).",
"HOTEQFREQ","6","Housing Problems","5","Cooling Problems","1","2023 National, 2023 Metro","PUF","Number of times main cooling equipment broke down for 6 hours or more","HOUSEHOLD","Numeric","JHOTEQFREQ","Coming soon","0: Never broke down for 6 hours||1 : 7: 1 to 7 breakdowns lasting 6 hours or more||8: 8 or more breakdowns lasting 6 hours or more||M or -9: Not reported||N or -6: Not applicable","How many times did main cooling equipment break down for 6 hours or more?","ACBREAKFRQ","None","INTSTATUS = '1' and HOTEQ = '1'","This question is only asked if the respondent replied ""yes"" to HOTEQ (meaning they were uncomfortably hot because the cooling equipment had broken down).",
"HOTINSUL","7","Housing Problems","5","Cooling Problems","1","2023 National, 2023 Metro","PUF","Flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months due to inadequate insulation","HOUSEHOLD","Character","JHOTINSUL","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","What was the reason (why housing unit was so hot for 24 hours or more that you were uncomfortable)? Mark all that apply","OTHHOT2","None","INTSTATUS = '1' and HOT = '1' and (HOTEQ in ('1' '2' 'M') or (ACPRIMARY = '12' and ACSECNDRY = '12'))","This question is only asked if the respondent replied ""yes"" to HOT (In the past 12 months for any reason, was your unit so hot for 24 hours or more that you were uncomfortable?), and they indicated that the unit was hot for reasons other than the main cooling equipment breaking down.",
"HOTLEAK","8","Housing Problems","5","Cooling Problems","1","2023 National, 2023 Metro","PUF","Flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months due to leaking windows, doors, and walls","HOUSEHOLD","Character","JHOTLEAK","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","What was the reason (why housing unit was so hot for 24 hours or more that you were uncomfortable)? Mark all that apply","OTHHOT2","None","INTSTATUS = '1' and HOT = '1' and (HOTEQ in ('1' '2' 'M') or (ACPRIMARY = '12' and ACSECNDRY = '12'))","This question is only asked if the respondent replied ""yes"" to HOT (In the past 12 months for any reason, was your unit so hot for 24 hours or more that you were uncomfortable?), and they indicated that the unit was hot for reasons other than the main cooling equipment breaking down.",
"HOTOTHER","9","Housing Problems","5","Cooling Problems","1","2023 National, 2023 Metro","PUF","Flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months because of some other reason","HOUSEHOLD","Character","JHOTOTHER","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","What was the reason (why housing unit was so hot for 24 hours or more that you were uncomfortable)? Mark all that apply","OTHHOT2","None","INTSTATUS = '1' and HOT = '1' and (HOTEQ in ('1' '2' 'M') or (ACPRIMARY = '12' and ACSECNDRY = '12'))","This question is only asked if the respondent replied ""yes"" to HOT (In the past 12 months for any reason, was your unit so hot for 24 hours or more that you were uncomfortable?), and they indicated that the unit was hot for reasons other than the main cooling equipment breaking down.",
"HOTUTIL","10","Housing Problems","5","Cooling Problems","1","2023 National, 2023 Metro","PUF","Flag indicating unit was uncomfortably hot for 24 hours or more in the last 12 months due to utility interruption or power outage","HOUSEHOLD","Character","JHOTUTIL","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","What was the reason (why housing unit was so hot for 24 hours or more that you were uncomfortable)? Mark all that apply","OTHHOT2","None","INTSTATUS = '1' and HOT = '1' and (HOTEQ in ('1' '2' 'M') or (ACPRIMARY = '12' and ACSECNDRY = '12'))","This question is only asked if the respondent replied ""yes"" to HOT (In the past 12 months for any reason, was your unit so hot for 24 hours or more that you were uncomfortable?), and they indicated that the unit was hot for reasons other than the main cooling equipment breaking down.",
"SHADEBLK","11","Housing Problems","5","Cooling Problems","1","2023 National, 2023 Metro","PUF","Amount of shade from trees or other buildings within 1/2 block","HOUSEHOLD","Character","JSHADEBLK","Coming soon","1: Very shady||2: Somewhat shady||3: Not very shady||4: Not at all shady||M or -9: Not reported||N or -6: Not applicable","How is the shade from trees, buildings and/or other sources within a half block of your housing unit? Would you say it is Very shady, Somewhat shady, Not very shady, or Not at all shady?","SHADEBLK","None","INTSTATUS = '1' and SPLITSAMP = '1'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"SHADEUNT","12","Housing Problems","5","Cooling Problems","1","2023 National, 2023 Metro","PUF","Flag indicating exterior of unit shaded by trees or other buildings","HOUSEHOLD","Character","JSHADEUNT","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Is any part of the exterior of your home, including walls, windows, and roof ever shaded by trees, another building, or something else such as an awning?","SHADEUNT","None","INTSTATUS = '1' and SPLITSAMP = '1'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"STAYCOOL","13","Housing Problems","5","Cooling Problems","1","2023 National, 2023 Metro","PUF","How well home stays cool without aid of cooling device","HOUSEHOLD","Character","JSTAYCOOL","Coming soon","1: Very well||2: Somewhat well||3: Not very well||4: Not well at all||M or -9: Not reported||N or -6: Not applicable","How well does your home stay cool in HOT WEATHER without the aid of air conditioning or other cooling device? Would you say Very well, Somewhat well, Not very well, or Not well at all?","STAYCOOL","None","INTSTATUS = '1' and SPLITSAMP = '1'","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.",
"FUSEBLOW","1","Housing Problems","5","Electrical Problems","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro","PUF","Number of times fuses blown or circuit breakers tripped in last 3 months","HOUSEHOLD","Character","JFUSEBLOW","Coming soon","1: 1 fuse / breaker blown in the last 3 months||2: 2 fuses / breakers blown in the last 3 months||3: 3 fuses / breakers blown in the last 3 months||4: 4 or more fuses / breakers blown in the last 3 months||5: No fuses / breakers blown in the last 3 months||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and NOWIRE <> '3'","FUSEBLOW is determined using IFBLOW (Have any fuses blown or circuit breakers tripped in the last 3 months?) and NUMBLOW (How many times in the last 3 months?). AHS began imputing IFBLOW and NUMBLOW in 2017. While FUSEBLOW is not imputed directly, its components are and it's edit flag indicates imputation where one or more of its component variables are imputed.",
"FUSEBLOW","1","Housing Problems","5","Electrical Problems","2","2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of times fuses blown or circuit breakers tripped in last 3 months","HOUSEHOLD","Character","JFUSEBLOW","Coming soon","1: 1 fuse / breaker blown in the last 3 months||2: 2 fuses / breakers blown in the last 3 months||3: 3 fuses / breakers blown in the last 3 months||4: 4 or more fuses / breakers blown in the last 3 months||5: 1 or more fuses / breakers blown, number of times not reported||6: No fuses / breakers blown in the last 3 months||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and NOWIRE <> '3'","FUSEBLOW is determined using IFBLOW (Have any fuses blown or circuit breakers tripped in the last 3 months?) and NUMBLOW (How many times in the last 3 months?). AHS began imputing IFBLOW and NUMBLOW in 2017. While FUSEBLOW is not imputed directly, its components are and it's edit flag indicates imputation where one or more of its component variables are imputed.",
"NOWIRE","2","Housing Problems","5","Electrical Problems","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating electrical wiring concealed by walls","HOUSEHOLD","Character","JNOWIRE","Coming soon","1: Concealed||2: Exposed||3: No electrical wiring","Is all the electrical wiring in the finished areas of this unit either concealed inside walls or under protective metal or plastic coverings?","NOWIREQ","None","INTSTATUS in ('1' '2' '3')","",
"PLUGS","3","Housing Problems","5","Electrical Problems","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating every room has working electrical plug","HOUSEHOLD","Character","JPLUGS","Coming soon","1: Yes||2: No||N or -6: Not applicable","Does every room have an electrical outlet or wall plug that works?","PLUGSQ","None","INTSTATUS in ('1' '2' '3') and NOWIRE <> '3'","",
"ADEQUACY","1","Housing Problems","5","General","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of housing adequacy","HOUSEHOLD","Character","JADEQUACY","Coming soon","1: Adequate||2: Moderately inadequate||3: Severely inadequate","NA","NA","None","INTSTATUS in ('1' '2' '3')","This item reflects categorizations of housing quality defined by HUD.",
"OUTAGE","2","Housing Problems","5","General","3","2023 National, 2023 Metro","PUF","Flag indicating unit without power in the last 12 months","HOUSEHOLD","Character","JOUTAGE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was your home ever completely without power (since you've lived here/since your household has lived here/in the last 12 months) that is, since (date)?","OUTAGE","None","INTSTATUS = '1' and SPLITSAMP = '2'","This item is part of the Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"OUTAGEFRQ","3","Housing Problems","5","General","3","2023 National, 2023 Metro","PUF","Number of times without power in the last 12 months","HOUSEHOLD","Numeric","JOUTAGEFRQ","Coming soon","0 : 7: 0 to 7||8: 8 or more||M or -9: Not reported||N or -6: Not applicable","How many times was your home completely without power for 6 hours or more (since you've lived here/since your household has lived here/in the last 12 months)?","OUTAGEFRQ","None","INTSTATUS = '1' and SPLITSAMP = '2' and OUTAGE = '1'","This item is part of the Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"OUTFOOD","4","Housing Problems","5","General","3","2023 National, 2023 Metro","PUF","Flag indicating food spoiled due to power outage in the last 12 months","HOUSEHOLD","Character","JOUTFOOD","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","(In the past 12 months/Since you have lived here) has any food spoiled as a result of a power outage?","OUTFOOD","None","INTSTATUS = '1' and SPLITSAMP = '2' and OUTAGE = '1'","This item is part of the Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"OUTMED","5","Housing Problems","5","General","3","2023 National, 2023 Metro","PUF","Flag indicating medicine spoiled due to power outage in the last 12 months","HOUSEHOLD","Character","JOUTMED","Coming soon","1: Yes||2: No||3: No refrigerated medicine||M or -9: Not reported||N or -6: Not applicable","(In the past 12 months/ Since you have lived here) did any refrigerated medicine spoil (as a result of a power outage)?","OUTMED","None","INTSTATUS = '1' and SPLITSAMP = '2' and OUTAGE = '1'","This item is part of the Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
"OUTMEDDEV","6","Housing Problems","5","General","3","2023 National, 2023 Metro","PUF","Flag indicating presence of medical devices that require electricity","HOUSEHOLD","Character","JOUTMEDDEV","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Do you (or anyone in your household) have any medical devices in your home that are important to health and that require electrical power to operate?","OUTMEDDEV","None","INTSTATUS = '1' and SPLITSAMP = '2'","This item is part of the Group 2 Topical modules; use SP2WEIGHT to create weighted estimates.",
